time,volume,open,high,low,close,bid,ask
2024-01-01T00:00:00,1064,1.1,1.10149,1.09904,1.10149,1.10149,1.10156
2024-01-01T04:00:00,1419,1.10149,1.10419,1.10011,1.10419,1.10419,1.10427
2024-01-01T08:00:00,837,1.10419,1.10574,1.1038,1.10574,1.10574,1.10588
2024-01-01T12:00:00,1545,1.10574,1.10711,1.10453,1.10711,1.10711,1.10725
2024-01-01T16:00:00,862,1.10711,1.10919,1.10549,1.10919,1.10919,1.10925
2024-01-01T20:00:00,1999,1.10919,1.11058,1.10788,1.11058,1.11058,1.1107
2024-01-02T00:00:00,1652,1.11058,1.11309,1.10909,1.11309,1.11309,1.11318
2024-01-02T04:00:00,1758,1.11309,1.11433,1.11223,1.11433,1.11433,1.1144
2024-01-02T08:00:00,1256,1.11433,1.11619,1.11296,1.11619,1.11619,1.11628
2024-01-02T12:00:00,1008,1.11619,1.11722,1.11462,1.117,1.117,1.11712
2024-01-02T16:00:00,1191,1.117,1.11915,1.1162,1.11915,1.11915,1.11922
2024-01-02T20:00:00,810,1.11915,1.12243,1.11859,1.12243,1.12243,1.1225
2024-01-03T00:00:00,1193,1.12243,1.12406,1.1212,1.12406,1.12406,1.12414
2024-01-03T04:00:00,1503,1.12406,1.12652,1.12266,1.12652,1.12652,1.12665
2024-01-03T08:00:00,1358,1.12652,1.12802,1.12469,1.12802,1.12802,1.12807
2024-01-03T12:00:00,1248,1.12802,1.13068,1.12764,1.13068,1.13068,1.13073
2024-01-03T16:00:00,1359,1.13068,1.13277,1.12967,1.13277,1.13277,1.13286
2024-01-03T20:00:00,1885,1.13277,1.13442,1.13222,1.13442,1.13442,1.1345
2024-01-04T00:00:00,1495,1.13442,1.13581,1.13352,1.13581,1.13581,1.13587
2024-01-04T04:00:00,1312,1.13581,1.13821,1.13452,1.13821,1.13821,1.13828
2024-01-04T08:00:00,1487,1.13821,1.14051,1.13743,1.14051,1.14051,1.14058
2024-01-04T12:00:00,1167,1.14051,1.1432,1.13926,1.1432,1.1432,1.14334
2024-01-04T16:00:00,1161,1.1432,1.14512,1.14266,1.14512,1.14512,1.14521
2024-01-04T20:00:00,1414,1.14512,1.14685,1.14464,1.14685,1.14685,1.14694
2024-01-05T00:00:00,1458,1.14685,1.14878,1.14645,1.14878,1.14878,1.1489
2024-01-05T04:00:00,996,1.14878,1.14975,1.14812,1.14975,1.14975,1.14988
2024-01-05T08:00:00,1006,1.14975,1.1526,1.14902,1.1526,1.1526,1.15271
2024-01-05T12:00:00,1867,1.1526,1.15448,1.15217,1.15448,1.15448,1.15457
2024-01-05T16:00:00,1360,1.15448,1.15649,1.15284,1.15649,1.15649,1.15659
2024-01-05T20:00:00,1655,1.15649,1.1584,1.15565,1.1584,1.1584,1.15855
2024-01-08T00:00:00,1076,1.1584,1.16028,1.15775,1.16028,1.16028,1.16035
2024-01-08T04:00:00,1046,1.16028,1.16286,1.15854,1.16286,1.16286,1.16294
2024-01-08T08:00:00,1376,1.16286,1.16504,1.16191,1.16504,1.16504,1.16516
2024-01-08T12:00:00,1625,1.16504,1.16739,1.16414,1.16739,1.16739,1.16748
2024-01-08T16:00:00,1030,1.16739,1.16971,1.16677,1.16971,1.16971,1.1698
2024-01-08T20:00:00,1779,1.16971,1.17091,1.16812,1.17091,1.17091,1.17099
2024-01-09T00:00:00,1610,1.17091,1.17307,1.17055,1.17307,1.17307,1.17315
2024-01-09T04:00:00,988,1.17307,1.17464,1.17254,1.17464,1.17464,1.1747
